Filename,FileId,MD5,Description
AMAM_Rapp_model_parameters.mat,415401,6fee8896fb1d2e27db29a34abb0dbaf7,"AM-AM modified Rapp fitted parameters, 270:5:330 GHz"
AMPM_Rapp_model_parameters.mat,415404,6c969fbeaee96188f3a422255369f7e8,"AM-PM modified Rapp fitted parameters, 270:5:330 GHz"
HBandMPA_M260-003_AMAM_AMPM.mat,386893,4b823ebd974f555fa79afb476b6cb647,"Processed measurement data, 25 frequencies x 81 power settings"
HBandMPA_M260-003_CW_PwrSweep_fc280GHz.mat,386900,1779911474a0f405bd33909c4513b31e,"Raw CW measurement data at 280 GHz, 81 power levels"
HBandMPA_M260-003_CW_PwrSweep_fc285GHz.mat,386896,2a199f7d462d870a6c67e6a48c556b67,"Raw CW measurement data at 285 GHz, 81 power levels"
HBandMPA_M260-003_CW_PwrSweep_fc290GHz.mat,386887,105ad3399db0a38e8adfb18367846176,"Raw CW measurement data at 290 GHz, 81 power levels"
HBandMPA_M260-003_CW_PwrSweep_fc295GHz.mat,386885,0b4bc953a8d5cb9adbf3b5f41c210213,"Raw CW measurement data at 295 GHz, 81 power levels"
HBandMPA_M260-003_CW_PwrSweep_fc300GHz.mat,386891,f4e7591a4add7bf554af582a7d650e5b,"Raw CW measurement data at 300 GHz, 81 power levels"
HBandMPA_M260-003_CW_PwrSweep_fc305GHz.mat,386902,aef5dfe4bb28464354ef70c37787616f,"Raw CW measurement data at 305 GHz, 81 power levels"
HBandMPA_M260-003_CW_PwrSweep_fc310GHz.mat,386882,dd7ab10840adbab0d0b27e5f570f7114,"Raw CW measurement data at 310 GHz, 81 power levels"
HBandMPA_M260-003_CW_PwrSweep_fc315GHz.mat,386903,ce979307fbbcc314fe008682bfcfe982,"Raw CW measurement data at 315 GHz, 81 power levels"
HBandMPA_M260-003_CW_PwrSweep_fc320GHz.mat,386894,0fc0612e196187c05a0adc05e1519971,"Raw CW measurement data at 320 GHz, 81 power levels"
HBandMPA_M260-003_CW_PwrSweep_fc325GHz.mat,386904,a296be19ab93e6d899d8db366cff405e,"Raw CW measurement data at 325 GHz, 81 power levels"
